ies,sector ies,caracter ies,departamento domicilio ies,municipio domicilio ies,programa academico,nivel academico,nivel formacion,metodología,sexo,anio,semestre,graduados,matriculados
LIBANO,LBN,C. BEIRUT,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,13,150,1,1
ITALIA,ITA,C. ROMA,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,130,1,1
REINO UNIDO,GBR,C. LONDRES,ADULTO JOVEN,19,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,13,150,1,1
ESTADOS UNIDOS,USA,C. ATLANTA,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,MASCULINO,11,135,1,1
PAISES BAJOS,NLD,C. AMSTERDAM,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,150,1,1
ESTADOS UNIDOS,USA,C. ATLANTA,ADULTO JOVEN,19,MATEMATICAS Y CIENCIAS NATURALES,QUIMICA Y AFINES,PREGRADO - PROFESIONAL,DESCONOCIDO,FEMENINO,13,150,1,1
CANADA,CAN,C. MONTREAL,ADULTO JOVEN,19,CIENCIAS DE LA SALUD,ENFERMERIA,PREGRADO - TECNICO PROFESIONAL,DESCONOCIDO,FEMENINO,13,150,1,1
ESTADOS UNIDOS,USA,C. WASHINGTON,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,MASCULINO,12,150,1,1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO JOVEN,19,CIENCIAS DE LA EDUCACION,EDUCACION,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,13,150,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,19,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,12,147,1,1
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,FEMENINO,13,150,1,1
ESPANIA,ESP,C. PALMA DE MALLORCA,ADULTO JOVEN,19,CIENCIAS DE LA SALUD,ENFERMERIA,PREGRADO - TECNICO PROFESIONAL,DESCONOCIDO,DESCONOCIDO,13,150,1,1
ESPANIA,ESP,C. BILBAO,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,137,1,1
ESPANIA,ESP,C. VALENCIA ESP,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,140,1,2
ESPANIA,ESP,C. BILBAO,ADULTO JOVEN,19,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,11,134,1,1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO JOVEN,19,CIENCIAS DE LA EDUCACION,EDUCACION,NO INDICA,SOLTERO,FEMENINO,12,150,1,1
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,MASCULINO,13,150,1,2
BRASIL,BRA,C. SAO PAULO,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,128,1,1
ESPANIA,ESP,C. LAS PALMAS DE G.C,ADULTO JOVEN,19,NINGUNA,NINGUNA,NINGUNO,SOLTERO,MASCULINO,13,150,1,1
CANADA,CAN,C. VANCOUVER,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,01,150,1,1
ESPANIA,ESP,C. VALENCIA ESP,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,132,1,1
CANADA,CAN,C. MONTREAL,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,FEMENINO,11,137,1,1
PAISES BAJOS,NLD,C. AMSTERDAM,ADULTO JOVEN,19,NINGUNA,NINGUNA,NINGUNO,SOLTERO,MASCULINO,13,150,1,2
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO JOVEN,19,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,12,155,1,1
BRASIL,BRA,C. BRASILIA,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,13,150,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,FEMENINO,11,140,1,1
CHILE,CHL,C. ANTOFAGASTA,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,13,150,1,29
VENEZUELA,VEN,C. PUERTO LA CRUZ,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,150,1,1
GUATEMALA,GTM,C. GUATEMALA,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,13,150,1,1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO JOVEN,19,CIENCIAS SOCIALES Y HUMANAS,PSICOLOGIA Y AFINES,NO INDICA,DESCONOCIDO,FEMENINO,11,128,1,1
VENEZUELA,VEN,C. BARQUISIMETO,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,20
SUIZA,CHE,C. BERNA,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,13,150,1,1
VENEZUELA,VEN,C. SAN ANT DE TACHIRA,ADULTO JOVEN,19,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,13,150,1,1
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO JOVEN,19,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,12,130,1,2
ECUADOR,ECU,C. GUAYAQUIL,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,13,150,1,75
BRASIL,BRA,C. BRASILIA,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,FEMENINO,13,150,1,1
ESPANIA,ESP,C. VALENCIA ESP,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,12,150,1,1
AUSTRALIA,AUS,C. CANBERRA,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,150,1,1
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,19,CIENCIAS DE LA SALUD,ODONTOLOGIA,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,13,150,1,1
ESPANIA,ESP,C. VALENCIA ESP,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,150,1,35
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,MASCULINO,12,150,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,19,NINGUNA,NINGUNA,PRIMARIA,DESCONOCIDO,MASCULINO,13,150,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,19,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,11,133,1,1
MEXICO,MEX,C. MEXICO,ADULTO JOVEN,19,CIENCIAS DE LA SALUD,SALUD OCUPACIONAL (HSEQ),NO INDICA,SOLTERO,MASCULINO,13,150,1,1
ECUADOR,ECU,C. QUITO,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,UNION_LIBRE,FEMENINO,13,150,1,1
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,148,1,1
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,140,1,1
CANADA,CAN,C. VANCOUVER,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,01,150,1,2
ESPANIA,ESP,C. BARCELONA,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,01,150,1,1
REINO UNIDO,GBR,C. LONDRES,ADULTO JOVEN,19,NINGUNA,NINGUNA,NINGUNO,SOLTERO,FEMENINO,13,150,1,1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO JOVEN,19,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,12,150,1,1
SUIZA,CHE,C. BERNA,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,12
ECUADOR,ECU,C. STO DOM COLORADOS,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,13,150,1,1
VENEZUELA,VEN,C. MERIDA VEN,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,01,150,1,1
BOLIVIA,BOL,C. LA PAZ,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,13,150,1,1
BRASIL,BRA,C. SAO PAULO,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,12,150,1,1
CHILE,CHL,C. ANTOFAGASTA,ADULTO JOVEN,19,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,MASCULINO,13,150,1,1
ESPANIA,ESP,C. SEVILLA,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,UNION_LIBRE,FEMENINO,12,150,1,1
ECUADOR,ECU,C. QUITO,ADULTO JOVEN,19,NINGUNA,NINGUNA,PRIMARIA,DESCONOCIDO,FEMENINO,13,150,1,1
ECUADOR,ECU,C. ESMERALDAS,ADULTO JOVEN,19,NINGUNA,NINGUNA,PRIMARIA,UNION_LIBRE,MASCULINO,13,150,1,1
GUATEMALA,GTM,C. GUATEMALA,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,13,150,1,4
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO JOVEN,19,CIENCIAS SOCIALES Y HUMANAS,OTROS ESTUDIOS EN CIENCIAS SOCIALES Y HUMANAS,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,13,150,1,1
FRANCIA,FRA,C. PARIS,ADULTO JOVEN,19,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,MASCULINO,12,150,1,1
ESTADOS UNIDOS,USA,C. LOS ANGELES,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,142,1,1
CANADA,CAN,C. MONTREAL,ADULTO JOVEN,19,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,12,150,1,1
BRASIL,BRA,C. BRASILIA,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,2
VENEZUELA,VEN,C. MERIDA VEN,ADULTO JOVEN,19,NO INDICA,NO INDICA,NINGUNO,SOLTERO,FEMENINO,12,150,1,1
PANAMA,PAN,C. PUERTO OBALDIA,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,150,1,1
ESTADOS UNIDOS,USA,C. CHICAGO,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,145,1,1
CURACAO,CUW,C. WILLEMSTAD,ADULTO JOVEN,19,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,12,140,1,1
ECUADOR,ECU,C. GUAYAQUIL,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,125,1,1
ALEMANIA,DEU,C. FRANKFURT,ADULTO JOVEN,19,AVIACION,AVIACION,PREGRADO - TECNOLOGICO,DESCONOCIDO,FEMENINO,13,150,1,1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,150,1,1
CANADA,CAN,C. MONTREAL,ADULTO JOVEN,19,CIENCIAS SOCIALES Y HUMANAS,PSICOLOGIA Y AFINES,PREGRADO - TECNICO PROFESIONAL,SOLTERO,FEMENINO,13,150,1,1
ESTADOS UNIDOS,USA,C. LOS ANGELES,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,12,150,1,6
BRASIL,BRA,C. MANAOS,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,120,1,1
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,132,1,2
ECUADOR,ECU,C. QUITO,ADULTO JOVEN,19,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,12,150,1,1
ESPANIA,ESP,C. VALENCIA ESP,ADULTO JOVEN,19,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,13,145,1,1
ECUADOR,ECU,C. QUITO,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,01,150,1,1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,MASCULINO,13,150,1,1
VENEZUELA,VEN,C. BARINAS,ADULTO JOVEN,19,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,12,147,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,19,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,MASCULINO,13,160,1,1
ESPANIA,ESP,C. SEVILLA,ADULTO JOVEN,19,CIENCIAS DE LA SALUD,SALUD PUBLICA,PREGRADO - TECNICO PROFESIONAL,SOLTERO,FEMENINO,13,150,1,1
FRANCIA,FRA,C. PARIS,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,23
ECUADOR,ECU,C. QUITO,ADULTO JOVEN,19,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,MASCULINO,13,150,1,1
ESPANIA,ESP,C. BILBAO,ADULTO JOVEN,19,BELLAS ARTES,DISENIO,NO INDICA,DESCONOCIDO,MASCULINO,11,146,1,1
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,12,150,1,1
BRASIL,BRA,C. MANAOS,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,12,150,1,1
CHILE,CHL,C. ANTOFAGASTA,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,160,1,1
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,130,1,2
VENEZUELA,VEN,C. BARINAS,ADULTO JOVEN,19,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,11,120,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,13,150,1,1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,150,1,3
ESTADOS UNIDOS,USA,C. SAN FRANCISCO,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,13,155,1,1
ESPANIA,ESP,C. SEVILLA,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,FEMENINO,13,150,1,1
REPUBLICA DOMINICANA,DOM,C. SANTO DOMINGO,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,1
CANADA,CAN,C. MONTREAL,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,130,1,2
FRANCIA,FRA,C. PARIS,ADULTO JOVEN,19,NINGUNA,NINGUNA,NINGUNO,SOLTERO,FEMENINO,13,150,1,1
FRANCIA,FRA,C. PARIS,ADULTO JOVEN,19,CIENCIAS SOCIALES Y HUMANAS,DERECHO Y AFINES,NO INDICA,DESCONOCIDO,FEMENINO,11,140,1,1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,13,150,1,24
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,19,CIENCIAS DE LA SALUD,BACTERIOLOGIA,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,12,145,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,19,NINGUNA,NINGUNA,PRIMARIA,UNION_LIBRE,FEMENINO,13,150,1,1
EL SALVADOR,SLV,C. SAN SALVADOR,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,13,150,1,1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,MASCULINO,13,150,1,1
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,CASADO,FEMENINO,13,150,1,2
ITALIA,ITA,C. ROMA,ADULTO JOVEN,19,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,13,150,1,2
ESTADOS UNIDOS,USA,C. ATLANTA,ADULTO JOVEN,19,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,MASCULINO,11,150,1,1
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO JOVEN,19,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,13,150,1,1
ESPANIA,ESP,C. LAS PALMAS DE G.C,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,12,150,1,2
VENEZUELA,VEN,C. BARINAS,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,13,150,1,3
ESPANIA,ESP,C. BARCELONA,ADULTO JOVEN,19,CIENCIAS DE LA SALUD,NUTRICION Y DIETETICA,PREGRADO - TECNICO PROFESIONAL,DESCONOCIDO,MASCULINO,13,150,1,1
BRASIL,BRA,C. MANAOS,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,150,1,2
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO JOVEN,19,CIENCIAS SOCIALES Y HUMANAS,CIENCIA POLITICA Y/O RELACIONES INTERNACIONALES,PREGRADO - PROFESIONAL,SOLTERO,MASCULINO,13,150,1,1
COSTA RICA,CRI,C. SAN JOSE,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,157,1,1
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,137,1,1
PANAMA,PAN,C. PANAMA,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,147,1,1
GUATEMALA,GTM,C. GUATEMALA,ADULTO JOVEN,19,NINGUNA,NINGUNA,PRIMARIA,UNION_LIBRE,MASCULINO,12,150,1,1
CANADA,CAN,C. MONTREAL,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,13,150,1,25
CANADA,CAN,C. VANCOUVER,ADULTO JOVEN,19,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,12,144,1,1
ESTADOS UNIDOS,USA,C. ATLANTA,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,FEMENINO,13,143,1,1
ESPANIA,ESP,C. BILBAO,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DIVORCIADO,MASCULINO,13,150,1,1
ECUADOR,ECU,C. QUITO,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,UNION_LIBRE,MASCULINO,12,150,1,1
ESPANIA,ESP,C. BARCELONA,ADULTO JOVEN,19,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,MASCULINO,13,150,1,3
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,19,BELLAS ARTES,DISENIO,NO INDICA,SOLTERO,FEMENINO,12,150,1,1
ARGENTINA,ARG,C. BUENOS AIRES,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,01,150,1,1
VENEZUELA,VEN,C. PUERTO ORDAZ,ADULTO JOVEN,19,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,11,140,1,1
PAISES BAJOS,NLD,C. AMSTERDAM,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,143,1,1
ECUADOR,ECU,C. GUAYAQUIL,ADULTO JOVEN,19,NINGUNA,NINGUNA,PRIMARIA,UNION_LIBRE,MASCULINO,13,150,1,1
URUGUAY,URY,C. MONTEVIDEO,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,12,150,1,1
ESTADOS UNIDOS,USA,C. NUEVA YORK,ADULTO JOVEN,19,NO INDICA,AVIACION,NO INDICA,DESCONOCIDO,MASCULINO,13,150,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,138,1,1
ESPANIA,ESP,C. SEVILLA,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,01,150,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,19,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,MASCULINO,11,140,1,1
ESTADOS UNIDOS,USA,C. ATLANTA,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,13,150,1,11
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO JOVEN,19,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,11,150,1,1
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,19,NINGUNA,NINGUNA,NINGUNO,SOLTERO,FEMENINO,12,150,1,2
ECUADOR,ECU,C. GUAYAQUIL,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,155,1,1
ESPANIA,ESP,C. VALENCIA ESP,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,MASCULINO,11,129,1,1
CANADA,CAN,C. MONTREAL,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,13,150,1,16
ESPANIA,ESP,C. BILBAO,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,UNION_LIBRE,FEMENINO,13,150,1,1
ESPANIA,ESP,C. SEVILLA,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,DESCONOCIDO,13,150,1,4
ESTADOS UNIDOS,USA,C. LOS ANGELES,ADULTO JOVEN,19,CIENCIAS DE LA SALUD,SALUD OCUPACIONAL (HSEQ),PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,12,150,1,1
ECUADOR,ECU,C. QUITO,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,UNION_LIBRE,MASCULINO,12,150,1,1
ESTADOS UNIDOS,USA,C. BOSTON,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,3
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO JOVEN,19,CIENCIAS SOCIALES Y HUMANAS,CIENCIA POLITICA Y/O RELACIONES INTERNACIONALES,PREGRADO - TECNICO PROFESIONAL,SOLTERO,FEMENINO,13,150,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,19,CIENCIAS SOCIALES Y HUMANAS,CIENCIA POLITICA Y/O RELACIONES INTERNACIONALES,PREGRADO - PROFESIONAL,SOLTERO,MASCULINO,13,150,1,1
ESTADOS UNIDOS,USA,C. LOS ANGELES,ADULTO JOVEN,19,CIENCIAS SOCIALES Y HUMANAS,DERECHO Y AFINES,PREGRADO - TECNICO PROFESIONAL,SOLTERO,FEMENINO,13,150,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,150,1,2
NUEVA ZELANDA,NZL,C. AUCKLAND,ADULTO JOVEN,19,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,FEMENINO,13,150,1,1
VENEZUELA,VEN,C. PUERTO LA CRUZ,ADULTO JOVEN,19,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,11,159,1,1
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,01,175,1,1
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,19,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,11,147,1,1
ESTADOS UNIDOS,USA,C. ATLANTA,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,DESCONOCIDO,MASCULINO,13,150,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,154,1,2
ESPANIA,ESP,C. BILBAO,ADULTO JOVEN,19,(NO REGISTRA),(NO REGISTRA),(NO REGISTRA),SOLTERO,MASCULINO,13,150,1,1
ECUADOR,ECU,C. QUITO,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,01,150,1,1
ESPANIA,ESP,C. BARCELONA,ADULTO JOVEN,19,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,134,1,1
ESTADOS UNIDOS,USA,C. ATLANTA,ADULTO JOVEN,19,NO INDICA,NO INDICA,NO INDICA,DESCONOCIDO,FEMENINO,13,150,1,2
ESTADOS UNIDOS,USA,C. CHICAGO,ADULTO JOVEN,19,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,MASCULINO,13,150,1,1
CANADA,CAN,C. TORONTO,ADULTO JOVEN,19,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,12,150,1,1
ITALIA,ITA,C. MILAN,ADULTO JOVEN,19,NINGUNA,NINGUNA,NINGUNO,SOLTERO,FEMENINO,13,150,1,2
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,19,CIENCIAS DE LA EDUCACION,EDUCACION,NO INDICA,SOLTERO,MASCULINO,12,150,1,2
CANADA,CAN,C. MONTREAL,ADULTO JOVEN,19,NINGUNA,NINGUNA,NINGUNO,SOLTERO,FEMENINO,13,150,1,1
VENEZUELA,VEN,C. VALENCIA VEN,ADULTO JOVEN,19,NINGUNA,NINGUNA,NINGUNO,DESCONOCIDO,MASCULINO,11,110,1,1
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,19,BELLAS ARTES,DISENIO,PREGRADO - TECNICO PROFESIONAL,SOLTERO,MASCULINO,13,150,1,1
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO JOVEN,19,NINGUNA,NINGUNA,BACHILLERATO,UNION_LIBRE,FEMENINO,13,150,1,1
