ies,sector ies,caracter ies,departamento domicilio ies,municipio domicilio ies,programa academico,nivel academico,nivel formacion,metodología,sexo,anio,semestre,graduados,matriculados
ESTADOS UNIDOS,USA,C. NEWARK,ADULTO JOVEN,21,CIENCIAS DE LA SALUD,ENFERMERIA,NO INDICA,SOLTERO,FEMENINO,12,150,1,1
ESTADOS UNIDOS,USA,C. MIAMI,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,13,150,1,26
ESTADOS UNIDOS,USA,C. BOSTON,ADULTO JOVEN,21,NINGUNA,NINGUNA,PRIMARIA,SOLTERO,MASCULINO,13,150,1,2
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,21,CIENCIAS DE LA EDUCACION,EDUCACION,NO INDICA,SOLTERO,MASCULINO,12,150,1,1
CURACAO,CUW,C. WILLEMSTAD,ADULTO JOVEN,21,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,MASCULINO,13,150,1,1
VENEZUELA,VEN,C. PUERTO AYACUCHO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,1
CANADA,CAN,C. MONTREAL,ADULTO JOVEN,21,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,13,160,1,1
PANAMA,PAN,C. PANAMA,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,13,132,1,1
AUSTRALIA,AUS,C. CANBERRA,ADULTO JOVEN,21,BELLAS ARTES,OTRO PROGRAMA DE BELLAS ARTES,PREGRADO - TECNICO PROFESIONAL,DESCONOCIDO,FEMENINO,13,150,1,1
CANADA,CAN,C. TORONTO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,143,1,1
ESPANIA,ESP,C. VALENCIA ESP,ADULTO JOVEN,21,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,13,156,1,1
PANAMA,PAN,C. PANAMA,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,142,1,1
ESPANIA,ESP,C. VALENCIA ESP,ADULTO JOVEN,21,COCINA Y CULINARIA,COCINA Y CULINARIA,PREGRADO - TECNICO PROFESIONAL,SOLTERO,MASCULINO,12,150,1,1
ESPANIA,ESP,C. PALMA DE MALLORCA,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,123,1,1
CHILE,CHL,C. SANTIAGO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,MASCULINO,12,165,1,1
PERU,PER,C. LIMA,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,10
ESPANIA,ESP,C. BILBAO,ADULTO JOVEN,21,CIENCIAS SOCIALES Y HUMANAS,DERECHO Y AFINES,PREGRADO - PROFESIONAL,SOLTERO,MASCULINO,12,150,1,2
ESPANIA,ESP,C. PALMA DE MALLORCA,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,FEMENINO,11,163,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,21,NINGUNA,NINGUNA,BACHILLERATO,SOLTERO,FEMENINO,12,162,1,1
ESPANIA,ESP,C. BARCELONA,ADULTO JOVEN,21,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,FEMENINO,12,160,1,1
SUIZA,CHE,C. BERNA,ADULTO JOVEN,21,NO INDICA,NO INDICA,BACHILLERATO,SOLTERO,MASCULINO,12,179,1,1
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,13,150,1,25
PANAMA,PAN,C. PANAMA,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,DESCONOCIDO,13,150,1,7
ESTADOS UNIDOS,USA,C. ORLANDO,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,DESCONOCIDO,MASCULINO,11,130,1,1
ECUADOR,ECU,C. TULCAN,ADULTO JOVEN,21,COCINA Y CULINARIA,COCINA Y CULINARIA,PREGRADO - PROFESIONAL,SOLTERO,FEMENINO,13,150,1,1
ESPANIA,ESP,C. VALENCIA ESP,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,CASADO,MASCULINO,13,150,1,1
ESPANIA,ESP,C. MADRID,ADULTO JOVEN,21,NO INDICA,NO INDICA,PRIMARIA,SOLTERO,FEMENINO,13,142,1,1
ESTADOS UNIDOS,USA,C. HOUSTON,ADULTO JOVEN,21,NINGUNA,NINGUNA,NO INDICA,SOLTERO,FEMENINO,12,150,1,13
